county,account_number,name,street,city,state,zip,phone,materials,lat,lng,google_place_id,hours_mon,hours_tue,hours_wed,hours_thu,hours_fri,hours_sat,hours_sun,drop_off_notes,raw_json
San Diego,68848,Lowe's,2225 Otay Lakes Rd,Chula Vista,CA,91915-1001,161-973-9906,rechargeable;cellphones;highenergybattery,32.6486142,-116.9696228,ChIJBW2JxW5F2YARx-7GNu_PPEg,,,,,,,,,"{""businessName"": ""Lowe's"", ""accountNumber"": ""68848"", ""acceptedMaterials"": ""rechargeable;cellphones;highenergybattery"", ""addressStreet"": ""2225 Otay Lakes Rd"", ""addressCity"": ""Chula Vista"", ""addressStateProvince"": ""CA"", ""addressZIP"": ""91915-1001"", ""addressLatitude"": ""32.6486142"", ""addressLongitude"": ""-116.9696228"", ""mainPhone"": ""161-973-9906"", ""googlePlaceID"": ""ChIJBW2JxW5F2YARx-7GNu_PPEg"", ""hoursMon"": """", ""hoursTue"": """", ""hoursWed"": """", ""hoursThu"": """", ""hoursFri"": """", ""hoursSat"": """", ""hoursSun"": """", ""dropOffNotes"": """"}"
San Diego,207116,Electric Bike Central,1851 San Diego Avenue,San Diego,CA,92110,619-564-7028,ebike,32.7443521,-117.1851713,ChIJi_RmYC-r3oARHvY54oYLChs,,,,,,,,,"{""businessName"": ""Electric Bike Central"", ""accountNumber"": ""207116"", ""acceptedMaterials"": ""ebike"", ""addressStreet"": ""1851 San Diego Avenue"", ""addressCity"": ""San Diego"", ""addressStateProvince"": ""CA"", ""addressZIP"": ""92110"", ""addressLatitude"": ""32.7443521"", ""addressLongitude"": ""-117.1851713"", ""mainPhone"": ""619-564-7028"", ""googlePlaceID"": ""ChIJi_RmYC-r3oARHvY54oYLChs"", ""hoursMon"": """", ""hoursTue"": """", ""hoursWed"": """", ""hoursThu"": """", ""hoursFri"": """", ""hoursSat"": """", ""hoursSun"": """", ""dropOffNotes"": """"}"
San Diego,41924,The Home Depot,3555 Sports Arena Blvd,San Diego,CA,92110-4920,161-922-4920,rechargeable,32.7521992,-117.2136166,ChIJD95_NPqq3oARtYeOfDIMXSo,,,,,,,,,"{""businessName"": ""The Home Depot"", ""accountNumber"": ""41924"", ""acceptedMaterials"": ""rechargeable"", ""addressStreet"": ""3555 Sports Arena Blvd"", ""addressCity"": ""San Diego"", ""addressStateProvince"": ""CA"", ""addressZIP"": ""92110-4920"", ""addressLatitude"": ""32.7521992"", ""addressLongitude"": ""-117.2136166"", ""mainPhone"": ""161-922-4920"", ""googlePlaceID"": ""ChIJD95_NPqq3oARtYeOfDIMXSo"", ""hoursMon"": """", ""hoursTue"": """", ""hoursWed"": """", ""hoursThu"": """", ""hoursFri"": """", ""hoursSat"": """", ""hoursSun"": """", ""dropOffNotes"": """"}"
San Diego,214013,EZE Ryders Electric Bikes,1926 Bacon St,San Diego,CA,92107,619-848-7420,ebike,32.7474874,-117.2508563,ChIJvzFiOzqq3oARObdbI74rUPM,,,,,,,,,"{""businessName"": ""EZE Ryders Electric Bikes"", ""accountNumber"": ""214013"", ""acceptedMaterials"": ""ebike"", ""addressStreet"": ""1926 Bacon St"", ""addressCity"": ""San Diego"", ""addressStateProvince"": ""CA"", ""addressZIP"": ""92107"", ""addressLatitude"": ""32.7474874"", ""addressLongitude"": ""-117.2508563"", ""mainPhone"": ""619-848-7420"", ""googlePlaceID"": ""ChIJvzFiOzqq3oARObdbI74rUPM"", ""hoursMon"": """", ""hoursTue"": """", ""hoursWed"": """", ""hoursThu"": """", ""hoursFri"": """", ""hoursSat"": """", ""hoursSun"": """", ""dropOffNotes"": """"}"
San Diego,219866,Cal Coast Bicycles,3020 Adams Ave,San Diego,CA,92116,619-281-7433,ebike,32.7632047,-117.1296844,ChIJy_CHLf5U2YARkPhXYHorN0s,,,,,,,,,"{""businessName"": ""Cal Coast Bicycles"", ""accountNumber"": ""219866"", ""acceptedMaterials"": ""ebike"", ""addressStreet"": ""3020 Adams Ave"", ""addressCity"": ""San Diego"", ""addressStateProvince"": ""CA"", ""addressZIP"": ""92116"", ""addressLatitude"": ""32.7632047"", ""addressLongitude"": ""-117.1296844"", ""mainPhone"": ""619-281-7433"", ""googlePlaceID"": ""ChIJy_CHLf5U2YARkPhXYHorN0s"", ""hoursMon"": """", ""hoursTue"": """", ""hoursWed"": """", ""hoursThu"": """", ""hoursFri"": """", ""hoursSat"": """", ""hoursSun"": """", ""dropOffNotes"": """"}"
San Diego,41867,The Home Depot,7530 Broadway,Lemon Grove,CA,91945-1604,161-958-9299,rechargeable,32.7440655,-117.0358249,ChIJN09H09RW2YAR6y-enAUaKbo,,,,,,,,,"{""businessName"": ""The Home Depot"", ""accountNumber"": ""41867"", ""acceptedMaterials"": ""rechargeable"", ""addressStreet"": ""7530 Broadway"", ""addressCity"": ""Lemon Grove"", ""addressStateProvince"": ""CA"", ""addressZIP"": ""91945-1604"", ""addressLatitude"": ""32.7440655"", ""addressLongitude"": ""-117.0358249"", ""mainPhone"": ""161-958-9299"", ""googlePlaceID"": ""ChIJN09H09RW2YAR6y-enAUaKbo"", ""hoursMon"": """", ""hoursTue"": """", ""hoursWed"": """", ""hoursThu"": """", ""hoursFri"": """", ""hoursSat"": """", ""hoursSun"": """", ""dropOffNotes"": """"}"
San Diego,68816,Lowe's,2318 Northside Dr,San Diego,CA,92108-2704,161-958-4550,rechargeable;cellphones;highenergybattery,32.7813065,-117.1259734,ChIJa0fqsKBV2YARQk19F0mle4A,,,,,,,,,"{""businessName"": ""Lowe's"", ""accountNumber"": ""68816"", ""acceptedMaterials"": ""rechargeable;cellphones;highenergybattery"", ""addressStreet"": ""2318 Northside Dr"", ""addressCity"": ""San Diego"", ""addressStateProvince"": ""CA"", ""addressZIP"": ""92108-2704"", ""addressLatitude"": ""32.7813065"", ""addressLongitude"": ""-117.1259734"", ""mainPhone"": ""161-958-4550"", ""googlePlaceID"": ""ChIJa0fqsKBV2YARQk19F0mle4A"", ""hoursMon"": """", ""hoursTue"": """", ""hoursWed"": """", ""hoursThu"": """", ""hoursFri"": """", ""hoursSat"": """", ""hoursSun"": """", ""dropOffNotes"": """"}"
San Diego,41871,The Home Depot,5920 Fairmount Ave,San Diego,CA,92120-4012,161-928-0023,rechargeable,32.78215,-117.1023915,ChIJmQVgi8dV2YARPpVU2webImE,,,,,,,,,"{""businessName"": ""The Home Depot"", ""accountNumber"": ""41871"", ""acceptedMaterials"": ""rechargeable"", ""addressStreet"": ""5920 Fairmount Ave"", ""addressCity"": ""San Diego"", ""addressStateProvince"": ""CA"", ""addressZIP"": ""92120-4012"", ""addressLatitude"": ""32.78215"", ""addressLongitude"": ""-117.1023915"", ""mainPhone"": ""161-928-0023"", ""googlePlaceID"": ""ChIJmQVgi8dV2YARPpVU2webImE"", ""hoursMon"": """", ""hoursTue"": """", ""hoursWed"": """", ""hoursThu"": """", ""hoursFri"": """", ""hoursSat"": """", ""hoursSun"": """", ""dropOffNotes"": """"}"
San Diego,121987,Jamul True Value Hardware,13881 Campo Rd Ste A-7,Jamul,CA,91935-3208,619-669-0300,rechargeable;cellphones,32.7172832,-116.8776423,ChIJIX0aZ71c2YARVDFFZRd1HOk,,,,,,,,,"{""businessName"": ""Jamul True Value Hardware"", ""accountNumber"": ""121987"", ""acceptedMaterials"": ""rechargeable;cellphones"", ""addressStreet"": ""13881 Campo Rd Ste A-7"", ""addressCity"": ""Jamul"", ""addressStateProvince"": ""CA"", ""addressZIP"": ""91935-3208"", ""addressLatitude"": ""32.7172832"", ""addressLongitude"": ""-116.8776423"", ""mainPhone"": ""619-669-0300"", ""googlePlaceID"": ""ChIJIX0aZ71c2YARVDFFZRd1HOk"", ""hoursMon"": """", ""hoursTue"": """", ""hoursWed"": """", ""hoursThu"": """", ""hoursFri"": """", ""hoursSat"": """", ""hoursSun"": """", ""dropOffNotes"": """"}"
San Diego,41872,The Home Depot,10604 Westview Pkwy,San Diego,CA,92126-2960,185-865-3676,rechargeable,32.9137466,-117.1215117,ChIJYxQiOh_524ARSFzmgj0wowg,,,,,,,,,"{""businessName"": ""The Home Depot"", ""accountNumber"": ""41872"", ""acceptedMaterials"": ""rechargeable"", ""addressStreet"": ""10604 Westview Pkwy"", ""addressCity"": ""San Diego"", ""addressStateProvince"": ""CA"", ""addressZIP"": ""92126-2960"", ""addressLatitude"": ""32.9137466"", ""addressLongitude"": ""-117.1215117"", ""mainPhone"": ""185-865-3676"", ""googlePlaceID"": ""ChIJYxQiOh_524ARSFzmgj0wowg"", ""hoursMon"": """", ""hoursTue"": """", ""hoursWed"": """", ""hoursThu"": """", ""hoursFri"": """", ""hoursSat"": """", ""hoursSun"": """", ""dropOffNotes"": """"}"
San Diego,206388,Black Mountain Bicycles,9860 Hibert St. Suite C1,San Diego,CA,92131,858-566-0710,ebike,32.9144584,-117.1152127,ChIJ4yJuGRj524ARVl94McVvaEs,,,,,,,,,"{""businessName"": ""Black Mountain Bicycles"", ""accountNumber"": ""206388"", ""acceptedMaterials"": ""ebike"", ""addressStreet"": ""9860 Hibert St. Suite C1"", ""addressCity"": ""San Diego"", ""addressStateProvince"": ""CA"", ""addressZIP"": ""92131"", ""addressLatitude"": ""32.9144584"", ""addressLongitude"": ""-117.1152127"", ""mainPhone"": ""858-566-0710"", ""googlePlaceID"": ""ChIJ4yJuGRj524ARVl94McVvaEs"", ""hoursMon"": """", ""hoursTue"": """", ""hoursWed"": """", ""hoursThu"": """", ""hoursFri"": """", ""hoursSat"": """", ""hoursSun"": """", ""dropOffNotes"": """"}"
San Diego,142758,Miramar Landfill,5161 Convoy St,San Diego,CA,92111-1207,185-849-2503,rechargeable;cellphones,32.83921120000001,-117.1505981,ChIJs74YZZ__24ARojY6xOaZias,,,,,,,,,"{""businessName"": ""Miramar Landfill"", ""accountNumber"": ""142758"", ""acceptedMaterials"": ""rechargeable;cellphones"", ""addressStreet"": ""5161 Convoy St"", ""addressCity"": ""San Diego"", ""addressStateProvince"": ""CA"", ""addressZIP"": ""92111-1207"", ""addressLatitude"": ""32.83921120000001"", ""addressLongitude"": ""-117.1505981"", ""mainPhone"": ""185-849-2503"", ""googlePlaceID"": ""ChIJs74YZZ__24ARojY6xOaZias"", ""hoursMon"": """", ""hoursTue"": """", ""hoursWed"": """", ""hoursThu"": """", ""hoursFri"": """", ""hoursSat"": """", ""hoursSun"": """", ""dropOffNotes"": """"}"
San Diego,210691,REI - San Diego,5556 Copley Drive,San Diego,CA,92111,858-279-4400,ebike,32.8384273,-117.1629819,ChIJxz1TvoL_24ARjTk2WUL4_3o,,,,,,,,,"{""businessName"": ""REI - San Diego"", ""accountNumber"": ""210691"", ""acceptedMaterials"": ""ebike"", ""addressStreet"": ""5556 Copley Drive"", ""addressCity"": ""San Diego"", ""addressStateProvince"": ""CA"", ""addressZIP"": ""92111"", ""addressLatitude"": ""32.8384273"", ""addressLongitude"": ""-117.1629819"", ""mainPhone"": ""858-279-4400"", ""googlePlaceID"": ""ChIJxz1TvoL_24ARjTk2WUL4_3o"", ""hoursMon"": """", ""hoursTue"": """", ""hoursWed"": """", ""hoursThu"": """", ""hoursFri"": """", ""hoursSat"": """", ""hoursSun"": """", ""dropOffNotes"": """"}"
San Diego,92312,White Cap Construction Supply,7560 Convoy Ct,San Diego,CA,92111-1179,185-856-0993,rechargeable;singleuse;cellphones,32.8353784,-117.1568058,ChIJs4UX8Jv_24AR8_k6GQG9HfM,,,,,,,,,"{""businessName"": ""White Cap Construction Supply"", ""accountNumber"": ""92312"", ""acceptedMaterials"": ""rechargeable;singleuse;cellphones"", ""addressStreet"": ""7560 Convoy Ct"", ""addressCity"": ""San Diego"", ""addressStateProvince"": ""CA"", ""addressZIP"": ""92111-1179"", ""addressLatitude"": ""32.8353784"", ""addressLongitude"": ""-117.1568058"", ""mainPhone"": ""185-856-0993"", ""googlePlaceID"": ""ChIJs4UX8Jv_24AR8_k6GQG9HfM"", ""hoursMon"": """", ""hoursTue"": """", ""hoursWed"": """", ""hoursThu"": """", ""hoursFri"": """", ""hoursSat"": """", ""hoursSun"": """", ""dropOffNotes"": """"}"
San Diego,213103,UC Cyclery Inc.,8715 Villa La Jolla Dr.,La Jolla,CA,92037,858-452-8842,ebike,32.8674345,-117.2326982,ChIJMRbLfs0G3IARmngvWNymF1I,,,,,,,,,"{""businessName"": ""UC Cyclery Inc."", ""accountNumber"": ""213103"", ""acceptedMaterials"": ""ebike"", ""addressStreet"": ""8715 Villa La Jolla Dr."", ""addressCity"": ""La Jolla"", ""addressStateProvince"": ""CA"", ""addressZIP"": ""92037"", ""addressLatitude"": ""32.8674345"", ""addressLongitude"": ""-117.2326982"", ""mainPhone"": ""858-452-8842"", ""googlePlaceID"": ""ChIJMRbLfs0G3IARmngvWNymF1I"", ""hoursMon"": """", ""hoursTue"": """", ""hoursWed"": """", ""hoursThu"": """", ""hoursFri"": """", ""hoursSat"": """", ""hoursSun"": """", ""dropOffNotes"": """"}"
San Diego,222855,Western Mower & Engine,12823 Pomerado Rd,Poway,CA,92064,858-748-2292,highenergybattery,32.949631,-117.0621903,ChIJU_4FhDP624ARqZSJIajnggE,,,,,,,,,"{""businessName"": ""Western Mower & Engine"", ""accountNumber"": ""222855"", ""acceptedMaterials"": ""highenergybattery"", ""addressStreet"": ""12823 Pomerado Rd"", ""addressCity"": ""Poway"", ""addressStateProvince"": ""CA"", ""addressZIP"": ""92064"", ""addressLatitude"": ""32.949631"", ""addressLongitude"": ""-117.0621903"", ""mainPhone"": ""858-748-2292"", ""googlePlaceID"": ""ChIJU_4FhDP624ARqZSJIajnggE"", ""hoursMon"": """", ""hoursTue"": """", ""hoursWed"": """", ""hoursThu"": """", ""hoursFri"": """", ""hoursSat"": """", ""hoursSun"": """", ""dropOffNotes"": """"}"
San Diego,41870,The Home Depot,4255 Genesee Ave,San Diego,CA,92117-4904,185-897-4039,rechargeable,32.8229411,-117.1806994,ChIJLVqK5XAA3IARC0pVX1JPzVU,,,,,,,,,"{""businessName"": ""The Home Depot"", ""accountNumber"": ""41870"", ""acceptedMaterials"": ""rechargeable"", ""addressStreet"": ""4255 Genesee Ave"", ""addressCity"": ""San Diego"", ""addressStateProvince"": ""CA"", ""addressZIP"": ""92117-4904"", ""addressLatitude"": ""32.8229411"", ""addressLongitude"": ""-117.1806994"", ""mainPhone"": ""185-897-4039"", ""googlePlaceID"": ""ChIJLVqK5XAA3IARC0pVX1JPzVU"", ""hoursMon"": """", ""hoursTue"": """", ""hoursWed"": """", ""hoursThu"": """", ""hoursFri"": """", ""hoursSat"": """", ""hoursSun"": """", ""dropOffNotes"": """"}"
San Diego,209292,Trek Bikes - Kearny Mesa San Diego,4240 KEARNY MESA ROAD,San Diego,CA,92111,858-974-8735,ebike,32.8188666,-117.1496648,ChIJjfyBoJz_24ARYhMLVWQYSA4,,,,,,,,,"{""businessName"": ""Trek Bikes - Kearny Mesa San Diego"", ""accountNumber"": ""209292"", ""acceptedMaterials"": ""ebike"", ""addressStreet"": ""4240 KEARNY MESA ROAD"", ""addressCity"": ""SAN DIEGO"", ""addressStateProvince"": ""CA"", ""addressZIP"": ""92111"", ""addressLatitude"": ""32.8188666"", ""addressLongitude"": ""-117.1496648"", ""mainPhone"": ""858-974-8735"", ""googlePlaceID"": ""ChIJjfyBoJz_24ARYhMLVWQYSA4"", ""hoursMon"": """", ""hoursTue"": """", ""hoursWed"": """", ""hoursThu"": """", ""hoursFri"": """", ""hoursSat"": """", ""hoursSun"": """", ""dropOffNotes"": """"}"
San Diego,220513,Trek Bicycle Kearny Mesa,4240 Kearny Mesa Rd,San Diego,CA,92111,858-974-8735,ebike,32.8188666,-117.1496648,ChIJjfyBoJz_24ARYhMLVWQYSA4,,,,,,,,,"{""businessName"": ""Trek Bicycle Kearny Mesa"", ""accountNumber"": ""220513"", ""acceptedMaterials"": ""ebike"", ""addressStreet"": ""4240 Kearny Mesa Rd"", ""addressCity"": ""San Diego"", ""addressStateProvince"": ""CA"", ""addressZIP"": ""92111"", ""addressLatitude"": ""32.8188666"", ""addressLongitude"": ""-117.1496648"", ""mainPhone"": ""858-974-8735"", ""googlePlaceID"": ""ChIJjfyBoJz_24ARYhMLVWQYSA4"", ""hoursMon"": """", ""hoursTue"": """", ""hoursWed"": """", ""hoursThu"": """", ""hoursFri"": """", ""hoursSat"": """", ""hoursSun"": """", ""dropOffNotes"": """"}"
San Diego,220514,TREK Bicycle Kearny Mesa,"4240 Kearny Mesa Rd, Suite 108",San Diego,CA,92111BKM5K,858-974-8735,ebike,32.8179001,-117.1498079,ChIJBeSG4MH_24AR_SR6edbk3T0,,,,,,,,,"{""businessName"": ""TREK Bicycle Kearny Mesa"", ""accountNumber"": ""220514"", ""acceptedMaterials"": ""ebike"", ""addressStreet"": ""4240 Kearny Mesa Rd, Suite 108"", ""addressCity"": ""San Diego"", ""addressStateProvince"": ""CA"", ""addressZIP"": ""92111BKM5K"", ""addressLatitude"": ""32.8179001"", ""addressLongitude"": ""-117.1498079"", ""mainPhone"": ""858-974-8735"", ""googlePlaceID"": ""ChIJBeSG4MH_24AR_SR6edbk3T0"", ""hoursMon"": """", ""hoursTue"": """", ""hoursWed"": """", ""hoursThu"": """", ""hoursFri"": """", ""hoursSat"": """", ""hoursSun"": """", ""dropOffNotes"": """"}"
San Diego,206366,San Diego Fly Rides,"12544 Kirkham Ct, Suite 2",Poway,CA,92064,323-524-5820,ebike,32.944997,-117.0516776,ChIJi2bwPrT724ARs92K7X6nitw,,,,,,,,,"{""businessName"": ""San Diego Fly Rides"", ""accountNumber"": ""206366"", ""acceptedMaterials"": ""ebike"", ""addressStreet"": ""12544 Kirkham Ct, Suite 2"", ""addressCity"": ""Poway"", ""addressStateProvince"": ""CA"", ""addressZIP"": ""92064"", ""addressLatitude"": ""32.944997"", ""addressLongitude"": ""-117.0516776"", ""mainPhone"": ""323-524-5820"", ""googlePlaceID"": ""ChIJi2bwPrT724ARs92K7X6nitw"", ""hoursMon"": """", ""hoursTue"": """", ""hoursWed"": """", ""hoursThu"": """", ""hoursFri"": """", ""hoursSat"": """", ""hoursSun"": """", ""dropOffNotes"": """"}"
San Diego,146376,Milwaukee Factory Service Centers,4229 Ponderosa Ave,San Diego,CA,92123,180-072-9387,rechargeable,32.8170707,-117.131235,ChIJj_gBws3_24AR8A6i1Q6QrkM,,,,,,,,,"{""businessName"": ""Milwaukee Factory Service Centers"", ""accountNumber"": ""146376"", ""acceptedMaterials"": ""rechargeable"", ""addressStreet"": ""4229 Ponderosa Ave"", ""addressCity"": ""San Diego"", ""addressStateProvince"": ""CA"", ""addressZIP"": ""92123"", ""addressLatitude"": ""32.8170707"", ""addressLongitude"": ""-117.131235"", ""mainPhone"": ""180-072-9387"", ""googlePlaceID"": ""ChIJj_gBws3_24AR8A6i1Q6QrkM"", ""hoursMon"": """", ""hoursTue"": """", ""hoursWed"": """", ""hoursThu"": """", ""hoursFri"": """", ""hoursSat"": """", ""hoursSun"": """", ""dropOffNotes"": """"}"
